,rest_name,star_rating,restaurant_reviews_count,restaurant_price,restaurant_cuisines,restaurant_area,restaurant_delivery_options
191,Samrat Indian Cuisine,3.0,6,,['Indian'],Bickford Park,"['Outdoor dining', 'Delivery', 'Takeout']"
192,Bavu Villas,4.5,27,$,"['Sri Lankan', 'Indian', 'Canadian (New)']",Milliken,[]
193,Chauhan’s Indian Express Take out & Catering,4.5,4,,['Indian'],Scarborough,"['Delivery', 'Takeout']"
194,Adda Bistro,4.0,8,,"['Indian', 'Bars']",Corktown,"['Make an Online Reservation', 'Outdoor dining', 'Delivery', 'Takeout']"
195,Indian Roti Meal,0.0,0,,"['Fast Food', 'Halal', 'Indian']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
196,Adda Bistro,4.0,8,,"['Indian', 'Bars']",Corktown,"['Make an Online Reservation', 'Outdoor dining', 'Delivery', 'Takeout']"
197,Spicy Aroma,4.0,7,,"['Indian', 'Mediterranean', 'Halal']",Bloordale Village,['Takeout']
198,The Indian Cuisine,3.5,81,,['Indian'],,[]
199,Good Karma,4.5,4,,['Indian'],,[]
200,Elchi Chai Shop,4.5,50,,"['Coffee & Tea', 'Indian']",,"['Outdoor dining', 'Delivery', 'Takeout']"
201,Touch,3.0,19,$,['Indian'],Downtown Core,[]
202,Indian Crown,3.0,21,,['Indian'],,[]
203,Rajdhani Sweets & Restaurant,3.5,32,$,['Indian'],Etobicoke,['Takeout']
204,The Copper Chimney,3.5,96,,['Indian'],,"['Delivery', 'Takeout']"
205,Shahi The Royal Roti,3.5,18,,['Indian'],,[]
206,BBQ Chicken Factory,4.0,2,,"['Barbeque', 'Indian', 'Bangladeshi']",Cabbagetown,"['Delivery', 'Takeout']"
207,Silver Chopsticks,4.5,10,,"['Vietnamese', 'Thai']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
208,Silver Chopsticks,4.5,10,,"['Vietnamese', 'Thai']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
209,Indian Roti Meal,0.0,0,,"['Fast Food', 'Indian', 'Halal']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
210,The Famous Indian Cuisine,4.0,56,,['Indian'],,[]
211,Spice Dabba,4.5,3,,['Indian'],,"['Delivery', 'Takeout']"
212,Mainsha Restaurant,4.0,18,,"['Indian', 'Caribbean', 'Canadian (New)']",,[]
213,Bombay On the Lake,3.5,42,$$,"['Indian', 'Halal', 'Vegetarian']",New Toronto,"['Outdoor dining', 'Delivery', 'Takeout']"
214,Indian Roti Meal,0.0,0,,"['Indian', 'Halal', 'Fast Food']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
215,Marigold Indian Bistro,3.0,74,$$,['Indian'],Mount Pleasant and Davisville,[]
216,Zam Zam Tikka & Kabab,4.0,27,$$,"['Indian', 'Pakistani']",Scarborough,['Takeout']
217,Malaysian Garam Masala,4.5,18,$,"['Indian', 'Malaysian']",Scarborough,['Delivery']
218,Diwan,4.0,59,,['Middle Eastern'],,"['Outdoor dining', 'Delivery', 'Takeout']"
219,Flaming Stove,4.5,60,$,"['Middle Eastern', 'Diners', 'Breakfast & Brunch']",Mount Pleasant and Davisville,['Delivery']
220,Adda Bistro,4.0,8,,"['Bars', 'Indian']",Corktown,"['Make an Online Reservation', 'Outdoor dining', 'Delivery', 'Takeout']"
221,Silver Chopsticks,4.5,10,,"['Vietnamese', 'Thai']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
222,Indian Roti Meal,0.0,0,,"['Indian', 'Fast Food', 'Halal']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
223,Loga’s Corner,4.5,154,$,['Himalayan/Nepalese'],Parkdale,['Takeout']
224,Dum Pukht,3.5,128,,"['Indian', 'Soup', 'Seafood']",,"['Delivery', 'Takeout']"
225,Gautama,3.5,59,,['Indian'],,[]
226,Karachi Nihari,5.0,1,,"['Indian', 'Pakistani', 'Barbeque']",Scarborough,"['Delivery', 'Takeout']"
227,Delhi Bistro,4.0,35,$$,['Indian'],The Beach,[]
228,Bombay Roti,3.5,16,,['Indian'],,[]
229,IST Snack Bar,3.5,12,,['Indian'],Parkdale,[]
230,Stratus Restaurant,5.0,1,,"['Indian', 'American (Traditional)', 'Asian Fusion']",Financial District,['Takeout']
231,Fat Pasha,4.0,192,$$$,['Middle Eastern'],The Annex,['Delivery']
232,Amaya,2.5,17,$,['Indian'],Financial District,[]
233,Adda Bistro,4.0,8,,"['Indian', 'Bars']",Corktown,"['Make an Online Reservation', 'Outdoor dining', 'Delivery', 'Takeout']"
234,Silver Chopsticks,4.5,10,,"['Thai', 'Vietnamese']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
235,Indian Roti Meal,0.0,0,,"['Fast Food', 'Halal', 'Indian']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
236,Ceylon Spice by Esther,2.5,4,,"['Indian', 'Food Court']",Yorkville,[]
237,Butter Chicken Roti,3.5,24,,['Indian'],,"['Delivery', 'Takeout']"
238,Benares Cucina Indian,2.0,1,,['Indian'],St. Lawrence,[]
239,Ali’s Tandoori Curry House,4.5,11,$$,"['Middle Eastern', 'Indian', 'Pakistani']",The Beach,[]
240,Tdots Naansense,0.0,0,,"['Food Trucks', 'Indian', 'Salad']",Downtown Core,[]
241,Patna Kabab House,3.5,50,$$,"['Indian', 'Desserts', 'Pakistani']",Scarborough,['Delivery']
242,Gharoa Restaurant,4.0,18,$,"['Halal', 'Bangladeshi']",East York,[]
243,Adda Bistro,4.0,8,,"['Indian', 'Bars']",Corktown,"['Outdoor dining', 'Delivery', 'Takeout']"
